id,type,category,topic,question,options,answer,hint,points,placeholder,accepted,tokens,correct_order,broken_code
417,code,Python,Shartlar,"yosh 18 yoki undan katta bo'lsa, Voyaga yetgan matnini chiqaring.",,,if dan keyin shart va ikki nuqta yoziladi.,1,# Kodingizni shu yerga yozing,"[""if yosh >= 18:\n    print(\""Voyaga yetgan\"")"",""if yosh >= 18:\n  print(\""Voyaga yetgan\"")""]",,,
418,code,Python,Funksiyalar,"Ikki sonni qo'shadigan add(a, b) funksiyasini yozing.",,,"Funksiya def bilan boshlanadi, natija return orqali qaytariladi.",1,# Funksiyani shu yerga yozing,"[""def add(a, b):\n    return a + b"",""def add(a, b):\n  return a + b""]",,,
419,code,Python,Ro'yxatlar,mevalar listiga Olma qiymatini qo'shing.,,,List oxiriga element qo'shish uchun append() ishlatiladi.,1,# Kodingizni shu yerga yozing,"[""mevalar.append(\""Olma\"")"",""mevalar.append('Olma')""]",,,
420,drag,Python,O'zgaruvchilar,Python'da o'zgaruvchi e'lonini to'g'ri tartibga qo'ying:,,,"Avval nomga qiymat beriladi, keyin o'zgaruvchi chiqariladi.",1,,,"[""25"",""yosh"",""="",""print(yosh)""]","[""yosh"",""="",""25"",""print(yosh)""]",
421,drag,Python,Chiqish,print funksiyasi kodini to'g'ri tartibga qo'ying:,,,Funksiya qavs ichida chiqariladigan qiymatni oladi.,1,,,"["")"",""print("",""\""Salom\""""]","[""print("",""\""Salom\"""","")""]",
422,drag,Python,Shartlar,if shartini to'g'ri tartibga qo'ying:,,,"if dan keyin shart, ikki nuqta va ichkariga surilgan kod keladi.",1,,,"[""print(\""OK\"")"",""if"",""x > 0:"","" ""]","[""if"",""x > 0:"","" "",""print(\""OK\"")""]",
423,drag,Python,Sikllar,for sikli boshlanishini to'g'ri tartibga qo'ying:,,,for o'zgaruvchi in iterable: tartibida yoziladi.,1,,,"[""in"",""for"",""range(3):"",""i""]","[""for"",""i"",""in"",""range(3):""]",
424,drag,Python,Funksiyalar,Funksiya e'lonini to'g'ri tartibga qo'ying:,,,Funksiya def nomi(parametrlar): shaklida boshlanadi.,1,,,"[""add(a, b):"",""def"",""add"","" ""]","[""def"",""add"",""add(a, b):"","" ""]",
425,fix,Python,Sintaksis,"Quyidagi koddagi xatoni tuzating:
print('Salom'",,,print funksiyasining yopuvchi qavsini qo'shing.,1,,"[""print('Salom')"",""print(\""Salom\"")""]",,,print('Salom'
426,fix,Python,Shartlar,"Quyidagi koddagi xatoni tuzating:
if yosh >= 18
    print('Katta')",,,if shartining oxiriga ikki nuqta qo'yiladi.,1,,"[""if yosh >= 18:\n    print('Katta')"",""if yosh >= 18:\n  print('Katta')""]",,,"if yosh >= 18
    print('Katta')"
427,fix,Python,Funksiyalar,"Quyidagi koddagi xatoni tuzating:
def salom()
    print('Salom')",,,Funksiya sarlavhasi oxiriga ikki nuqta qo'yiladi.,1,,"[""def salom():\n    print('Salom')"",""def salom():\n  print('Salom')""]",,,"def salom()
    print('Salom')"
428,fix,Python,O'zgaruvchilar,"Quyidagi koddagi xatoni tuzating:
son == 10",,,"Qiymat berish uchun == emas, = operatori ishlatiladi.",1,,"[""son = 10""]",,,son == 10
429,fix,Python,Sikllar,"Quyidagi koddagi xatoni tuzating:
for i in range(3)
    print(i)",,,for sikli sarlavhasi oxiriga ikki nuqta qo'yiladi.,1,,"[""for i in range(3):\n    print(i)"",""for i in range(3):\n  print(i)""]",,,"for i in range(3)
    print(i)"
430,fix,Python,Ro'yxatlar,"Quyidagi koddagi xatoni tuzating:
mevalar = ['Olma'
print(mevalar)",,,Listning yopuvchi kvadrat qavsini qo'shing.,1,,"[""mevalar = ['Olma']\nprint(mevalar)"",""mevalar = [\""Olma\""]\nprint(mevalar)""]",,,"mevalar = ['Olma'
print(mevalar)"
